target_index,target,predicted,residual,absolute_error,percent_error,shifted_energy,original_eigen_index,phase,hbase_expectation,integer_branch,branch_margin
1,14.1347,14.1347,0.0,0.0,0.0,0.27464767590358896,20,-1.968101498557936,13.600421234246856,10578,0.45453495276888134
2,21.022,18.238159557699465,-2.7838404423005336,2.7838404423005336,13.242509952909018,0.354380930283698,16,-2.066780638155275,13.680350087790158,10640,0.3933300296594098
3,25.0108,23.17139845546659,-1.839401544533409,1.839401544533409,7.354429064777652,0.45023741099775094,159,0.7217918604879775,13.775608113840521,10715,0.14119808748364449
4,30.4248,27.707710458974855,-2.717089541025146,2.717089541025146,8.930509127505015,0.5383813085645262,97,-2.7805627430878483,13.864536445281477,10783,0.2486773123655439
5,32.935,33.08753642660293,0.15253642660292854,0.15253642660292854,0.4631438488019691,0.6429153063695612,208,1.5833076516320261,13.968722618763724,10865,0.480788506427416
6,37.5861,33.79482344063223,-3.7912765593677733,3.7912765593677733,10.086911276689449,0.6566584162056337,96,-2.7473746490295436,13.982111949474769,10875,0.20562274127587443
7,40.9187,35.453422551450885,-5.4652774485491165,5.4652774485491165,13.356429819493574,0.6888862237319415,256,3.118247376840513,14.015033056557012,10901,0.2551359940734983
8,43.327,40.84958449734063,-2.477415502659369,2.477415502659369,5.7179483985952615,0.7937376416777067,105,-0.35229878413739263,14.119933245063056,10982,0.21720275385087007
9,48.0051,43.547873766047076,-4.457226233952923,4.457226233952923,9.284901466621095,0.8461673979913051,143,1.0342414473872636,14.172159244345966,11023,0.3756828768619016
10,49.7738,44.418218764786396,-5.355581235213606,5.355581235213606,10.759839986526258,0.8630788450781246,150,0.0694606979143605,14.188904291470116,11036,0.4948929434449383
11,52.9703,48.31284919313059,-4.657450806869413,4.657450806869413,8.792570189085984,0.9387543950118431,142,0.9512147485916403,14.264612918533677,11095,0.47938000513204315
12,56.4462,48.60162993925464,-7.844570060745355,7.844570060745355,13.897428100997683,0.9443656185092415,77,-1.3380759442970447,14.270527928461116,11099,0.2430980440130952
13,59.347,49.40437000917165,-9.942629990828351,9.942629990828351,16.7533826323628,0.9599634518242315,11,-2.1664155503873386,14.285837676807953,11111,0.4671675695499289
14,60.8317,50.72309787635937,-10.10860212364063,10.10860212364063,16.617326367076096,0.9855873096968715,33,-1.7264237827919013,14.311886286297163,11131,0.13680013036537275
15,65.1125,52.17735539215403,-12.93514460784597,12.93514460784597,19.86583929022226,1.013844608888105,36,-1.5896810008439817,14.339807483776802,11153,0.39821658514301816
16,67.0798,53.36765710660306,-13.712142893396944,13.712142893396944,20.441538128314253,1.0369730516210591,278,-1.5209737581123997,14.362427019309639,11171,0.2059606282509776
17,69.5464,53.69782174105506,-15.848578258944947,15.848578258944947,22.78849553527565,1.043388394678768,67,-1.456808954403143,14.369737023743461,11176,0.09818095418449957
18,72.0671,54.548967089649636,-17.51813291035036,17.51813291035036,24.308086367219385,1.0599267783620192,88,-0.5984300015129116,14.386190088978363,11189,0.1645407658888871
19,75.7046,55.28364185693905,-20.42095814306095,20.42095814306095,26.97452749642816,1.0742020525016223,61,-1.2466123046691564,14.39956569629095,11200,0.13570762831295724
20,77.1448,58.76538510448434,-18.379414895515666,18.379414895515666,23.824567431007228,1.1418548991153692,155,1.1429562782216949,14.467371523539699,11253,0.25469439295193297
