sigma,height,direct_real,direct_imag,cosh_residual,reflection_residual
0.4,0.0,0.8171678410501548,-0.0,1.1102230246251565e-16,0.0
0.4,1.0,0.7509110851071544,-0.013062148765263959,2.2356406536468885e-16,0.0
0.4,5.0,-0.3602365386688878,-0.02972376788899178,1.1364755910069911e-16,0.0
0.4,20.0,-0.20638028092182528,-0.032041645185268475,1.360465664691595e-15,0.0
0.5,0.0,0.816496580927726,-0.0,1.1102230246251565e-16,0.0
0.5,1.0,0.7502942514022519,0.0,1.1102230246251565e-16,0.0
0.5,5.0,-0.3599406234224686,0.0,1.6653345369377348e-16,0.0
0.5,20.0,-0.2062107504463474,0.0,1.3600232051658168e-15,0.0
0.6,0.0,0.8171678410501548,-0.0,1.1102230246251565e-16,0.0
0.6,1.0,0.7509110851071544,0.013062148765263959,2.2356406536468885e-16,0.0
0.6,5.0,-0.3602365386688878,0.02972376788899178,1.1364755910069911e-16,0.0
0.6,20.0,-0.20638028092182528,0.032041645185268475,1.360465664691595e-15,0.0
