atom_count,last_atom,det3_product_real,det3_product_imag,max_det3_error,det3_vertical_range,max_reflection_residual,max_eigenvalue_residual
2,3,1.0017162045295553,-0.0013272890776946835,2.2277281207460173e-16,2.7755575615628914e-17,0.0,4.440892098500626e-16
3,5,1.0019027373734373,-0.0014770235183437007,2.2220558870698383e-16,2.2591401799415137e-16,0.0,5.578801654593729e-16
8,19,1.00209174209854,-0.0016307391719563124,2.252273901081595e-16,2.7755575615628914e-17,0.0,4.440892098500626e-16
16,53,1.0021230103986234,-0.0016564508646956203,2.3572869144812476e-16,5.551115123125783e-17,0.0,4.440892098500626e-16
32,131,1.0021334176324836,-0.0016650321738534645,2.3031067514664817e-16,2.3714374201337736e-16,0.0,4.440892098500626e-16
