q,sigma,cutoff,plus_q_sum,minus_q_sum,inside_common_strip
2,0.3,32,4.698060305742056,0.9485090309084152,False
2,0.3,128,7.544910653383032,0.9783152180836002,False
2,0.3,512,11.761043776888533,0.9899387345448187,False
2,0.3,2048,18.212977853427393,0.9948443146044366,False
2,0.3333333333333333,32,3.947000779460958,1.047656355590918,False
2,0.3333333333333333,128,5.8827010672338504,1.0909890370369466,False
2,0.3333333333333333,512,8.44882285693655,1.1098826526275278,False
2,0.3333333333333333,2048,11.977128752167236,1.1187626412940723,False
2,0.4,32,2.8561038442323428,1.2969057933930377,False
2,0.4,128,3.75386909003701,1.3887754520697817,False
2,0.4,512,4.707277797332648,1.4388385860253818,False
2,0.4,2048,5.765363548579571,1.468015512474671,False
2,0.5,32,1.8653041963875023,1.8653041963875023,False
2,0.5,128,2.1511314182772816,2.1511314182772816,False
2,0.5,512,2.36864319694551,2.36864319694551,False
2,0.5,2048,2.5436161509330906,2.5436161509330906,False
2,0.6,32,1.2969057933930377,2.8561038442323428,False
2,0.6,128,1.3887754520697817,3.75386909003701,False
2,0.6,512,1.4388385860253818,4.707277797332648,False
2,0.6,2048,1.468015512474671,5.765363548579571,False
2,0.6666666666666666,32,1.0476563555909184,3.947000779460957,False
2,0.6666666666666666,128,1.090989037036947,5.882701067233848,False
2,0.6666666666666666,512,1.1098826526275283,8.448822856936545,False
2,0.6666666666666666,2048,1.1187626412940728,11.977128752167227,False
2,0.7,32,0.9485090309084152,4.698060305742054,False
2,0.7,128,0.9783152180836002,7.544910653383027,False
2,0.7,512,0.9899387345448187,11.761043776888524,False
2,0.7,2048,0.9948443146044366,18.212977853427375,False
3,0.3,32,2.2886004153679016,0.40568323952130103,False
3,0.3,128,2.7945592312170273,0.4063047443033795,False
3,0.3,512,3.249443156938179,0.40637955939734904,False
3,0.3,2048,3.67926916738993,0.4063897311132031,False
3,0.3333333333333333,32,1.8653041963875023,0.45099117578658865,False
3,0.3333333333333333,128,2.1511314182772816,0.4520648295075433,False
3,0.3333333333333333,512,2.36864319694551,0.45221775776295525,False
3,0.3333333333333333,2048,2.5436161509330906,0.45224220791021363,False
3,0.4,32,1.2969057933930377,0.564262845922447,True
3,0.4,128,1.3887754520697813,0.5674862292775065,True
3,0.4,512,1.4388385860253812,0.5681288508717091,True
3,0.4,2048,1.4680155124746703,0.568270895874883,True
3,0.5,32,0.8235944517953873,0.8235944517953873,True
3,0.5,128,0.8406304207943975,0.8406304207943975,True
3,0.5,512,0.8462491896730234,0.8462491896730234,True
3,0.5,2048,0.8482668049135497,0.8482668049135497,True
3,0.6,32,0.564262845922447,1.2969057933930377,True
3,0.6,128,0.5674862292775065,1.3887754520697813,True
3,0.6,512,0.5681288508717091,1.4388385860253812,True
3,0.6,2048,0.568270895874883,1.4680155124746703,True
3,0.6666666666666666,32,0.45099117578658865,1.8653041963875023,True
3,0.6666666666666666,128,0.4520648295075433,2.1511314182772816,True
3,0.6666666666666666,512,0.45221775776295525,2.36864319694551,True
3,0.6666666666666666,2048,0.45224220791021363,2.5436161509330906,True
3,0.7,32,0.40568323952130103,2.2886004153679007,False
3,0.7,128,0.4063047443033795,2.7945592312170255,False
3,0.7,512,0.40637955939734904,3.2494431569381765,False
3,0.7,2048,0.4063897311132031,3.6792691673899265,False
4,0.3,32,1.2969057933930377,0.20816541127473484,True
4,0.3,128,1.3887754520697817,0.20817964511485104,True
4,0.3,512,1.4388385860253818,0.20818017157473911,True
4,0.3,2048,1.468015512474671,0.20818019455409634,True
4,0.3333333333333333,32,1.0476563555909184,0.23462648222679117,True
4,0.3333333333333333,128,1.090989037036947,0.23465552358070516,True
4,0.3333333333333333,512,1.1098826526275283,0.23465686875766356,True
4,0.3333333333333333,2048,1.1187626412940728,0.23465694167248366,True
4,0.4,32,0.7211168937212715,0.3008065154454705,True
4,0.4,128,0.7308757962758481,0.30092843752039344,True
4,0.4,512,0.7335975963118716,0.3009372919299566,True
4,0.4,2048,0.734429078517885,0.30093803192211754,True
4,0.5,32,0.45099117578658865,0.45099117578658865,True
4,0.5,128,0.4520648295075433,0.4520648295075433,True
4,0.5,512,0.45221775776295525,0.45221775776295525,True
4,0.5,2048,0.45224220791021363,0.45224220791021363,True
4,0.6,32,0.3008065154454705,0.7211168937212715,True
4,0.6,128,0.30092843752039344,0.7308757962758481,True
4,0.6,512,0.3009372919299566,0.7335975963118716,True
4,0.6,2048,0.30093803192211754,0.734429078517885,True
4,0.6666666666666666,32,0.23462648222679122,1.047656355590918,True
4,0.6666666666666666,128,0.23465552358070524,1.0909890370369466,True
4,0.6666666666666666,512,0.23465686875766367,1.1098826526275278,True
4,0.6666666666666666,2048,0.23465694167248377,1.1187626412940723,True
4,0.7,32,0.20816541127473484,1.2969057933930377,True
4,0.7,128,0.20817964511485104,1.3887754520697813,True
4,0.7,512,0.20818017157473911,1.4388385860253812,True
4,0.7,2048,0.20818019455409634,1.4680155124746703,True
