seed,edge_count,max_trace_error_r2_r4_r6_r8,det3_vertical_range,schatten4_range,ledger_exact_numeric,singular_motion
0,7,8.881784197001252e-16,1.3877787807814457e-17,2.6696082241783423,True,True
1,9,8.881784197001252e-16,1.3877787807814457e-17,1.6752294511290975,True,True
2,9,8.881784197001252e-16,1.3877787807814457e-17,5.729791434815104,True,True
3,9,8.881784197001252e-16,1.3877787807814457e-17,33.392246004744905,True,True
4,9,8.881784197001252e-16,1.3877787807814457e-17,8.119502820846773,True,True
5,10,8.881784197001252e-16,1.3877787807814457e-17,4.478401838261574,True,True
6,11,8.881784197001252e-16,1.3877787807814457e-17,25.387291773659403,True,True
7,7,8.881784197001252e-16,1.3877787807814457e-17,1.4619922683332989,True,True
8,8,8.881784197001252e-16,1.3877787807814457e-17,8.208502866345244,True,True
9,5,8.881784197001252e-16,1.3877787807814457e-17,7.487834500885031,True,True
10,8,8.881784197001252e-16,1.3877787807814457e-17,1.9139611311502112,True,True
11,10,8.881784197001252e-16,1.3877787807814457e-17,4.570810145704582,True,True
12,9,8.881784197001252e-16,1.3877787807814457e-17,9.777364254187248,True,True
13,8,8.881784197001252e-16,1.3877787807814457e-17,5.4819955439008385,True,True
14,9,8.881784197001252e-16,1.3877787807814457e-17,31.670708229917704,True,True
15,7,8.881784197001252e-16,1.3877787807814457e-17,2.3936307719126746,True,True
16,8,8.881784197001252e-16,1.3877787807814457e-17,2.518918880116545,True,True
17,10,8.881784197001252e-16,1.3877787807814457e-17,14.266678289877232,True,True
18,7,8.881784197001252e-16,1.3877787807814457e-17,14.792085611623678,True,True
19,9,8.881784197001252e-16,1.3877787807814457e-17,4.282500611812846,True,True
20,11,8.881784197001252e-16,1.3877787807814457e-17,11.983069885861106,True,True
21,10,8.881784197001252e-16,1.3877787807814457e-17,4.611928255768912,True,True
22,10,8.881784197001252e-16,1.3877787807814457e-17,12.664355776489508,True,True
23,7,8.881784197001252e-16,1.3877787807814457e-17,5.995818179722399,True,True
