base_seed,cutoff_k,state_count,algorithm,positive_count,negative_count,sign_sum,sign_field_sha256,selection_status
2026081201,8,256,SplitMix64_counter_hash_v1,122,134,-12,2493bc04a9d8e554359a08b135ea3fe75811790dc99036bcf8760561613cd534,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081202,8,256,SplitMix64_counter_hash_v1,122,134,-12,3677fef6eea83c140d4486cb688f0141fc1e5cf2ab7c05e7bd70c64bef3f3a63,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081203,8,256,SplitMix64_counter_hash_v1,122,134,-12,cbd438d873ed55932fb660f9dcadab639516db8363bdebc9fbd28eed76b396b3,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081201,10,1024,SplitMix64_counter_hash_v1,483,541,-58,daf30eb51391178f1e937e909bcf0b82fd00f6c827409d9655e9fe0342021f68,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081202,10,1024,SplitMix64_counter_hash_v1,483,541,-58,93992817085b760b5e564b78c806bcca76940d640b565cd4ca7d0d29f08cf5ac,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081203,10,1024,SplitMix64_counter_hash_v1,483,541,-58,4ac6b351de4de11a9f0ca18d02f896a3d357e78cb0a752ab9a73bd33d5c42a0f,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081201,12,4096,SplitMix64_counter_hash_v1,2024,2072,-48,8e74fa83e8fd53d38211f952fc997dc5c976154d2d7fff755a601ac362f0f5ec,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081202,12,4096,SplitMix64_counter_hash_v1,2024,2072,-48,1b1a43d9157a33ae86864962698df100ec29c4c1db18b86abb3cc87ac9ac3cbc,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081203,12,4096,SplitMix64_counter_hash_v1,2024,2072,-48,45bb277f8271b5b391bf15db873bc77ff84ea9b85b1b7a3d78a8882d5cb1d48b,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081201,14,16384,SplitMix64_counter_hash_v1,8140,8244,-104,1a14d67780cc9b3172b1a5cc7c4d9d0c70bee53990015ecf51cb36c072dce492,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081202,14,16384,SplitMix64_counter_hash_v1,8140,8244,-104,a86086db64f1ac2557d1557355d30083da6ee392bcc90e84211924417288bfb2,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081203,14,16384,SplitMix64_counter_hash_v1,8140,8244,-104,1c53a934ce452f7deb3b205bf4a796d2e0d1792e611ece32fb652eef55ee989c,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081201,16,65536,SplitMix64_counter_hash_v1,32515,33021,-506,1a6b05c4106fab7ff2539d95f716243a7697847c44f76aa422b2ea2a579be9c8,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081202,16,65536,SplitMix64_counter_hash_v1,32515,33021,-506,875d73ce1e82e7b45582a90f0a1b3e7d62e7bdef2ac84b760ce0955b2b37eca2,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081203,16,65536,SplitMix64_counter_hash_v1,32515,33021,-506,78bf69b3dc1ad7c8bcd2be55aee9519481cee56b647ae2ed57df3d8654b691af,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081201,18,262144,SplitMix64_counter_hash_v1,131027,131117,-90,47693e52ae469a260029af026117fc6421df2c828191d6753ef569bc460ff6bf,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081202,18,262144,SplitMix64_counter_hash_v1,131027,131117,-90,50e9e7188e759d9c35d7df9431fb724afb0c9fb9060d751a78faa87ce33365c8,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081203,18,262144,SplitMix64_counter_hash_v1,131027,131117,-90,87344d78632421e176b2c5a60aecd5cb8a80a726aff95e13b9af3faf8254e2d8,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081201,20,1048576,SplitMix64_counter_hash_v1,524522,524054,468,7c95d7942a0207ef7f75451dcf68d63211033ce4176ca7449264326fbf98b4d7,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081202,20,1048576,SplitMix64_counter_hash_v1,524522,524054,468,87efb84c38b05a7f8d37ba190b03c808c9b2246f978320e72f1a59fc66c61c0f,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081203,20,1048576,SplitMix64_counter_hash_v1,524522,524054,468,374767ecaa3440a4f0f8f163331936106adb4ddf110cd3a10f463e5d3959d09b,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081201,22,4194304,SplitMix64_counter_hash_v1,2095625,2098679,-3054,34e7c8084c92f06152e0cced0f8d5badb1c543999f4fefa800023fe128b0d1b8,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081202,22,4194304,SplitMix64_counter_hash_v1,2095625,2098679,-3054,15ac9c427e46566ce5efd9d27d74562d38a18fedceafd2034eae4b5c2b0bd1b1,ALL_REPORTED_NO_BEST_SEED_SELECTION
2026081203,22,4194304,SplitMix64_counter_hash_v1,2095625,2098679,-3054,a88f84eb47576f24459d149ed649973ad90de1c7acd327a02d5c431c5fcab28f,ALL_REPORTED_NO_BEST_SEED_SELECTION
